Georgia Southern,-2.86,.308,.352,.530,50.2,48.6,11.1,9.9,.502,18.8,28.5,.209
Georgia State,-2.00,.284,.385,.496,51.3,52.9,13.2,12.7,.463,14.6,33.8,.199
Georgia Tech,5.73,.242,.345,.525,49.4,53.1,11.5,7.6,.500,17.0,26.5,.170
Georgia,8.26,.389,.372,.551,49.3,59.2,7.4,6.1,.506,18.9,26.0,.293
Gonzaga,3.25,.301,.364,.619,56.6,56.4,9.1,13.6,.599,14.0,29.5,.218
Grambling,-3.54,.340,.275,.495,47.9,46.5,9.1,9.4,.453,18.1,26.1,.245
Grand Canyon,-2.65,.307,.391,.529,53.9,50.2,9.9,6.2,.503,16.7,34.7,.206
Green Bay,-4.16,.321,.349,.502,48.3,49.2,7.2,7.9,.464,17.3,24.8,.231
Hampton,-5.91,.345,.355,.492,46.5,46.0,7.6,10.3,.452,16.5,21.4,.241
Hartford,-6.99,.281,.447,.557,48.1,48.9,9.2,8.6,.537,16.1,23.2,.189
Harvard,-4.19,.271,.428,.531,49.7,44.0,11.4,7.5,.505,15.2,25.4,.188
Hawaii,-2.22,.311,.423,.554,53.4,51.6,5.2,5.3,.522,17.2,27.5,.228
High Point,-2.55,.338,.341,.527,49.3,51.2,9.8,12.9,.501,17.2,27.4,.220
Hofstra,-0.20,.198,.439,.566,48.8,53.0,10.7,8.0,.540,13.0,23.6,.159
Holy Cross,-7.34,.281,.289,.501,49.0,41.8,8.9,9.8,.469,16.0,27.4,.198
Houston Baptist,-5.44,.368,.357,.539,53.1,51.0,11.1,6.9,.504,18.8,31.2,.257
Houston,4.59,.276,.397,.555,54.9,57.0,12.3,18.3,.536,13.9,36.5,.182
Howard,-7.99,.343,.397,.561,48.2,56.4,11.9,9.5,.524,17.9,27.2,.255
Idaho State,-4.78,.338,.434,.518,48.9,46.9,6.9,6.4,.486,17.5,27.7,.231
Idaho,-3.58,.358,.380,.548,48.2,48.7,5.3,5.6,.509,17.2,22.9,.264
Illinois-Chicago,-5.41,.221,.455,.536,48.2,55.8,8.3,8.8,.515,15.3,23.9,.154
Illinois State,1.40,.329,.360,.552,50.1,46.5,9.3,12.3,.518,17.0,27.7,.242
Illinois,9.36,.310,.432,.562,54.8,57.9,7.6,7.0,.535,15.6,33.3,.219
Incarnate Word,-3.09,.289,.441,.531,45.4,48.1,7.3,4.7,.492,17.8,21.8,.226
Indiana State,2.49,.263,.455,.556,49.5,52.2,8.3,5.1,.522,17.0,17.7,.206
Indiana,7.01,.352,.321,.541,52.3,56.6,8.2,14.8,.511,15.9,26.6,.241
Iona,-0.86,.388,.359,.539,51.4,61.3,9.1,15.8,.504,15.0,31.3,.270
Iowa State,7.91,.287,.366,.533,50.0,58.2,12.5,9.9,.507,17.4,28.6,.197
Iowa,6.09,.305,.382,.562,50.7,53.3,10.3,11.8,.528,10.6,31.2,.230
Purdue-Fort Wayne,-6.91,.259,.460,.575,48.4,55.0,12.3,7.4,.547,17.6,19.9,.197
IUPUI,-6.02,.277,.347,.460,48.8,54.4,8.8,8.0,.429,22.2,30.1,.184
Jackson State,-3.86,.271,.315,.471,50.9,47.5,9.4,11.0,.445,17.8,29.1,.172
Jacksonville State,-3.94,.305,.432,.578,53.5,54.7,9.2,8.5,.560,17.1,28.7,.204
Jacksonville,-4.75,.287,.316,.537,56.1,51.4,10.7,7.4,.509,15.8,33.2,.201
James Madison,-1.41,.288,.358,.554,48.6,48.9,12.1,6.6,.529,15.5,26.8,.201
Kansas State,8.71,.286,.417,.522,48.9,52.9,10.6,5.0,.490,14.8,26.4,.206
Kansas,10.64,.316,.337,.584,54.3,53.7,9.1,10.4,.560,16.0,33.4,.223
Kennesaw State,-2.35,.291,.376,.550,52.3,51.8,10.5,8.7,.530,15.6,30.3,.192
Kent State,-2.01,.317,.404,.549,52.6,50.5,10.6,11.7,.513,16.0,29.5,.238
Kentucky,7.73,.273,.284,.564,57.6,52.8,9.9,11.1,.537,14.2,37.8,.200
La Salle,0.39,.257,.405,.507,50.3,54.5,8.4,11.2,.479,16.8,29.1,.180
Lafayette,-5.87,.216,.456,.529,46.2,63.9,8.8,8.4,.510,14.7,22.1,.148
Lamar,-1.78,.252,.314,.477,48.9,47.7,8.7,9.1,.445,18.4,30.5,.178
Lehigh,-7.01,.264,.378,.546,48.6,56.9,6.3,8.2,.517,18.0,20.5,.194
Liberty,-3.31,.265,.496,.600,52.0,58.3,8.4,5.8,.577,15.9,22.7,.197
Lipscomb,-2.54,.361,.428,.572,49.6,60.1,5.9,6.8,.538,17.1,22.2,.265
Cal State Long Beach,1.12,.394,.309,.536,51.1,49.3,9.4,9.6,.494,16.4,26.8,.284
Long Island University,-6.42,.281,.399,.517,50.6,62.1,10.5,13.0,.490,16.1,29.9,.192
Longwood,-7.17,.341,.371,.556,54.7,52.5,11.4,8.3,.523,14.7,33.6,.246
Louisiana,-2.57,.333,.377,.523,53.5,50.4,10.0,10.8,.491,18.8,33.1,.230
Louisiana-Monroe,-2.21,.265,.352,.539,47.0,56.2,10.2,8.0,.511,16.0,25.0,.192
Louisiana State,8.26,.317,.343,.529,52.3,47.9,15.6,14.7,.496,17.6,33.8,.225
Louisiana Tech,-1.03,.328,.419,.566,50.5,54.6,9.5,6.1,.536,13.9,26.2,.237
Louisville,6.56,.253,.428,.513,50.8,48.4,9.0,6.9,.488,15.4,26.6,.172
Loyola (IL),2.51,.310,.427,.595,52.3,57.7,10.1,7.9,.571,16.0,24.9,.223
Loyola Marymount,4.22,.321,.385,.546,48.3,46.0,8.2,4.9,.513,18.1,25.9,.231
Loyola (MD),-7.69,.243,.388,.530,49.5,61.3,11.7,8.4,.508,17.5,24.3,.165
Maine,-5.71,.205,.386,.498,47.0,57.0,10.8,7.3,.474,17.0,24.5,.145
Manhattan,-4.43,.425,.332,.549,49.9,46.9,10.1,9.2,.500,18.2,28.9,.318
Marist,-5.00,.255,.382,.538,50.4,36.2,8.8,10.4,.512,16.0,26.9,.183
Marquette,9.32,.272,.418,.557,47.2,61.3,10.9,13.0,.529,15.5,22.1,.201
Marshall,0.36,.245,.391,.524,49.1,51.8,9.3,12.1,.498,15.7,27.0,.174
Maryland-Baltimore County,-6.11,.295,.429,.556,47.6,48.9,6.8,5.0,.519,14.5,21.7,.231
Maryland-Eastern Shore,-5.52,.311,.411,.508,49.7,51.0,14.6,6.6,.482,18.4,29.8,.201
Maryland,9.34,.348,.366,.534,50.3,46.8,9.0,8.9,.492,15.2,26.7,.262
Massachusetts-Lowell,-6.80,.261,.332,.523,50.8,44.4,10.8,11.2,.496,15.4,28.5,.182
Massachusetts,1.83,.332,.446,.554,48.2,55.7,9.0,7.0,.516,14.3,27.5,.250
