Name                          Rating      Wins      Losses    Stat        Games       SOS         
Presbyterian                  -1.688374   7         6         -0.414173   -0.350741   0.101515    
Mount St. Mary's              -1.737062   4         8         -0.720970   -0.962980   0.331627    
George Washington             -1.738169   4         8         -0.939966   -0.408943   -0.647628   
Radford                       -1.796407   4         8         -1.099310   -0.726485   0.408331    
Lipscomb                      -1.827842   5         7         -0.625117   -0.911290   0.032481    
Siena                         -1.840025   4         6         -1.040689   -0.637178   -1.205011   
NJIT                          -1.841219   5         5         -0.258410   -0.585443   -1.199897   
UC-Davis                      -1.852239   5         3         -0.320452   -0.969619   -0.358709   
Maryland-Eastern Shore        -1.876963   5         5         -0.035280   -0.744325   0.459467    
Tennessee Tech                -1.886955   3         9         -0.226303   -0.949930   0.375093    
McNeese State                 -1.916897   3         8         -0.844291   -0.883931   1.144690    
Texas A&M-Corpus Christi      -1.961849   10        2         -0.004603   -0.614359   -1.816086   
Sam Houston State             -1.972077   4         7         -0.716774   -1.227970   0.500376    
Evansville                    -1.988023   4         8         -0.521711   -0.951957   -0.619503   
North Florida                 -2.036604   4         9         -1.087255   -0.793574   1.829913    
Detroit                       -2.040742   3         7         -1.415921   -0.307001   -0.041666   
Tarleton State                -2.041337   4         8         -1.391214   -0.674770   1.967980    
Canisius                      -2.053487   3         9         -0.875929   -0.830631   0.132197    
St. Thomas (MN)               -2.069249   5         6         -0.430396   -0.774924   -0.831718   
Marist                        -2.078147   5         5         -1.142508   0.004646    -1.626883   
Cal Poly                      -2.085391   3         8         -0.225232   -0.735787   -1.135977   
High Point                    -2.087759   5         6         0.143717    -1.315353   -0.596492   
SIU-Edwardsville              -2.131556   5         6         -0.556913   -0.522044   -1.033705   
St. Peter's                   -2.155279   3         6         -0.900152   -0.818489   -0.593935   
Howard                        -2.165643   6         5         -0.234512   -0.532661   -1.455577   
Northern Arizona              -2.208146   4         7         -0.007562   -1.167900   -0.476322   
LIU                           -2.243578   2         7         -0.846124   -1.143998   0.364866    
Green Bay                     -2.253545   2         8         -0.807740   -0.976546   -0.057007   
New Orleans                   -2.276331   3         7         -1.124955   -0.416774   0.211458    
Southeastern Louisiana        -2.279409   4         7         0.081108    -1.071807   -1.049046   
Purdue-Fort Wayne             -2.281133   5         5         -0.242048   -1.046220   -1.867222   
Texas-Rio Grande Valley       -2.342123   5         7         -1.473813   -0.748983   1.047532    
Lafayette                     -2.361626   2         8         -1.324689   -0.895403   -0.302460   
Bucknell                      -2.422478   3         8         -0.831839   -1.056835   -1.092511   
Charleston Southern           -2.424318   3         7         -0.463246   -1.085505   0.416002    
North Carolina A&T            -2.440574   4         9         -1.046873   -0.907332   0.196117    
Houston Baptist               -2.476118   3         6         -0.033986   -1.801325   1.390143    
Milwaukee                     -2.515260   2         8         -0.902261   -0.891011   -0.501890   
Southern                      -2.539324   5         6         -1.133520   -0.773303   -0.435413   
Jackson State                 -2.566218   2         9         -2.153116   -0.335898   1.533324    
UNC Wilmington                -2.583880   5         5         -0.400830   -1.390508   -1.956711   
Austin Peay                   -2.588795   4         6         -0.918629   -1.219314   -0.568367   
North Carolina Central        -2.619244   6         7         -0.912456   -0.804958   -0.154165   
St. Francis (NY)              -2.636638   3         8         -0.410076   -1.346425   -0.895638   
Sacramento State              -2.637241   4         5         -1.702401   -0.843870   0.835317    
UTSA                          -2.639284   6         5         -0.535240   -1.569569   -1.330294   
Binghamton                    -2.651532   3         6         -0.590744   -1.119966   -0.599049   
Elon                          -2.707995   3         9         -1.706394   -0.778086   0.945260    
Merrimack                     -2.772274   4         8         -1.820011   -0.522419   0.403218    
Morgan State                  -2.807611   4         7         -0.672164   -1.467551   -0.742230   
UT-Martin                     -2.894696   4         7         -0.687819   -1.054327   0.152651    
Grambling                     -2.933118   3         8         -1.499758   -0.957684   0.863442    
Hartford                      -2.978613   1         10        -1.085691   -1.503321   -0.639958   
Coppin State                  -3.031794   1         14        -1.732659   -0.883778   0.584751    
Cal State Northridge          -3.041570   4         6         -1.860557   -0.744131   0.899237    
