Holy Cross,-7.29,.294,.331,.546,51.0,50.8,8.8,8.4,.522,16.0,27.7,.201
Houston Baptist,-5.52,.355,.378,.570,47.3,49.1,11.1,8.9,.534,19.0,24.3,.264
Houston,4.67,.337,.440,.479,45.1,54.6,8.5,6.7,.433,19.2,26.6,.245
Howard,-7.94,.348,.322,.520,51.8,48.5,9.7,8.4,.483,21.4,31.7,.245
Idaho State,-4.87,.341,.365,.563,50.6,44.9,10.1,8.9,.528,15.1,27.1,.251
Idaho,-3.56,.335,.334,.572,51.7,42.2,8.6,9.5,.546,13.2,26.1,.234
Illinois-Chicago,-5.70,.338,.275,.546,51.4,44.1,9.4,6.3,.512,15.4,25.0,.244
Illinois State,1.28,.313,.367,.542,49.8,49.7,10.1,6.9,.506,15.2,28.0,.233
Illinois,9.31,.286,.294,.494,45.2,40.9,9.8,9.0,.457,13.7,25.3,.208
Incarnate Word,-3.43,.291,.358,.580,54.5,48.7,9.5,7.9,.556,16.3,29.4,.207
Indiana State,2.47,.254,.364,.536,50.6,47.3,9.0,10.9,.505,14.4,21.0,.190
Indiana,7.03,.305,.393,.491,47.7,44.5,10.0,6.6,.445,15.7,23.8,.234
Iona,-0.83,.348,.329,.504,48.6,46.7,9.6,8.8,.466,16.6,28.6,.242
Iowa State,7.94,.369,.377,.523,49.7,52.6,10.4,10.8,.479,21.8,26.9,.270
Iowa,6.03,.271,.371,.526,49.3,53.8,7.4,6.3,.498,17.3,29.2,.193
Purdue-Fort Wayne,-6.74,.262,.399,.550,51.7,50.7,8.4,8.7,.523,20.1,23.3,.191
IUPUI,-6.24,.361,.408,.557,51.1,52.7,11.6,9.3,.518,18.2,31.0,.269
Jackson State,-3.78,.372,.292,.515,49.1,49.3,10.3,9.6,.480,16.0,26.3,.252
Jacksonville State,-4.18,.211,.449,.513,46.5,53.7,9.5,8.1,.483,15.2,24.7,.162
Jacksonville,-4.60,.298,.453,.493,44.1,49.1,8.6,8.9,.457,16.4,22.0,.212
James Madison,-1.00,.265,.458,.547,51.8,58.3,8.6,7.3,.518,18.7,30.5,.196
Kansas State,8.84,.319,.406,.518,51.3,55.5,8.2,10.0,.486,17.3,28.0,.220
Kansas,11.04,.272,.354,.505,46.0,46.3,9.9,7.0,.473,15.9,27.2,.195
Kennesaw State,-2.14,.330,.411,.544,48.0,52.6,9.4,6.9,.516,17.5,25.5,.228
Kent State,-2.49,.354,.440,.510,47.1,53.6,9.3,7.4,.471,17.9,25.0,.248
Kentucky,8.09,.250,.360,.493,42.5,47.1,8.7,6.7,.461,15.7,24.0,.180
La Salle,0.85,.334,.367,.540,49.5,57.3,9.5,8.2,.508,14.7,26.7,.236
Lafayette,-5.93,.263,.366,.547,53.9,51.0,8.3,7.6,.525,14.7,29.6,.181
Lamar,-1.90,.378,.413,.553,51.0,66.6,10.8,7.5,.519,15.4,31.0,.265
Lehigh,-7.11,.318,.254,.521,51.1,40.5,11.0,11.7,.486,13.1,25.2,.229
Liberty,-3.26,.313,.412,.511,47.9,48.9,9.5,8.1,.474,15.9,21.6,.226
Lipscomb,-2.93,.224,.402,.536,50.2,51.7,10.2,12.8,.513,12.1,27.6,.160
Cal State Long Beach,1.35,.285,.396,.534,49.1,51.8,9.0,7.2,.501,17.3,25.4,.212
Long Island University,-6.72,.301,.417,.510,49.3,51.8,9.3,7.4,.476,16.3,28.9,.215
Longwood,-6.94,.262,.433,.527,45.2,47.9,8.0,9.6,.496,18.7,22.2,.193
Louisiana,-2.60,.335,.329,.513,46.5,49.8,11.7,8.6,.471,16.9,26.1,.247
Louisiana-Monroe,-2.15,.325,.408,.549,53.0,58.0,10.3,10.3,.522,17.3,31.5,.224
Louisiana State,8.10,.377,.461,.485,47.9,53.7,9.5,8.9,.447,22.0,29.7,.250
Louisiana Tech,-0.55,.266,.392,.515,49.6,52.8,8.8,7.6,.482,17.0,26.4,.196
Louisville,6.88,.304,.392,.530,49.1,51.8,9.2,9.5,.500,14.5,24.6,.213
Loyola (IL),2.72,.277,.385,.516,47.6,41.4,8.4,11.0,.484,18.1,22.7,.201
Loyola Marymount,3.81,.311,.377,.581,51.5,55.7,9.7,10.6,.545,16.4,27.3,.244
Loyola (MD),-7.83,.300,.380,.532,50.8,55.5,9.5,8.2,.500,18.5,25.4,.216
Maine,-5.51,.331,.353,.567,52.9,49.2,10.1,7.6,.536,17.2,28.3,.242
Manhattan,-4.40,.342,.338,.549,50.1,56.7,10.8,6.6,.516,18.0,29.8,.244
Marist,-4.93,.286,.403,.508,49.6,54.9,8.9,8.9,.473,15.1,27.2,.208
Marquette,9.21,.299,.362,.495,52.8,54.8,9.6,9.4,.462,16.3,31.1,.205
Marshall,0.43,.283,.344,.545,50.9,47.1,10.5,5.9,.508,16.2,27.6,.221
Maryland-Baltimore County,-6.42,.202,.373,.536,52.3,46.3,8.3,7.9,.522,14.9,27.7,.132
Maryland-Eastern Shore,-5.83,.351,.395,.525,49.9,54.8,9.6,9.3,.490,21.8,27.6,.245
Maryland,9.34,.245,.388,.529,49.7,52.7,8.5,9.4,.501,13.9,27.0,.178
Massachusetts-Lowell,-6.24,.304,.330,.502,49.4,43.5,8.5,8.8,.466,18.2,26.3,.216
Massachusetts,2.23,.276,.358,.579,51.5,58.4,8.5,7.7,.556,15.7,28.9,.199
McNeese State,-3.75,.358,.360,.544,46.1,52.7,11.3,6.9,.507,17.9,25.9,.258
Memphis,6.79,.341,.430,.503,46.4,55.3,12.9,9.0,.466,18.0,31.2,.236
Mercer,-0.61,.279,.411,.548,49.6,51.9,10.6,8.6,.519,14.9,26.0,.202
Merrimack,-6.32,.331,.341,.522,57.1,59.8,9.2,9.2,.486,19.5,35.6,.236
Miami (FL),6.32,.239,.403,.555,53.2,57.9,7.9,8.7,.537,18.1,28.8,.163
Miami (OH),-3.16,.282,.407,.550,51.0,50.7,8.9,8.7,.521,15.5,27.3,.205
Michigan State,9.75,.274,.375,.498,46.5,52.5,9.6,9.0,.466,13.8,26.1,.194
Michigan,10.34,.254,.344,.521,45.3,41.1,7.7,8.0,.490,13.2,23.6,.189
Middle Tennessee,-1.21,.345,.368,.521,48.7,44.5,9.0,9.7,.481,19.5,28.5,.252
Milwaukee,-5.74,.287,.411,.508,50.8,53.7,9.7,8.3,.468,12.7,28.0,.219
Minnesota,8.75,.221,.342,.527,54.6,51.2,7.3,10.6,.506,14.0,26.8,.152
Mississippi State,7.24,.275,.427,.530,45.8,56.5,10.2,8.7,.498,17.5,25.7,.203
