UNC Greensboro,-0.266033,15,11,-0.322201,0.015007,-0.252489
Boston University,-0.269709,19,9,0.313108,-0.18213,-1.540895
UNC Wilmington,-0.298466,18,7,0.224234,-0.191362,-0.83997
Charlotte,-0.298763,13,11,-0.20064,-0.051881,0.122283
Mercer,-0.302734,15,13,-0.077122,-0.271273,-0.043832
New Mexico,-0.326418,11,14,-0.467202,0.093606,0.95286
Fordham,-0.350775,11,13,0.039167,-0.023988,-0.145122
Old Dominion,-0.367774,10,15,0.005078,-0.414472,0.0372
Abilene Christian,-0.421184,17,7,-0.062491,-0.339877,-0.487481
East Carolina,-0.442078,12,12,-0.738879,0.156695,0.608474
Fairfield,-0.45141,12,14,0.281239,-0.228513,-0.971647
Texas Southern,-0.465517,11,11,-0.001529,-0.13803,-0.923027
Indiana State,-0.468298,11,15,-0.17097,-0.492744,0.454514
Sam Houston State,-0.470426,15,11,0.088854,-0.455951,-0.169431
Illinois State,-0.472773,11,16,0.117914,-0.48864,0.15267
Georgia,-0.472879,6,20,-0.922256,-0.132159,1.66594
Georgia State,-0.493102,11,10,-0.024963,-0.481918,-0.177534
Nebraska,-0.50811,7,18,-1.263251,0.249919,1.669992
Georgetown,-0.508221,6,19,-1.102445,-0.069817,1.378277
UTEP,-0.508946,14,10,-0.252349,-0.210093,-0.106632
St. Peter's,-0.531381,11,10,-0.259439,-0.042407,-0.457094
Penn,-0.538278,11,12,-0.68247,0.069156,-0.017497
Valparaiso,-0.555579,11,15,-0.167304,-0.465875,0.416024
Western Illinois,-0.564119,15,11,0.384945,-0.361294,-1.068885
College of Charleston,-0.578281,14,10,-0.344272,0.027573,-0.376062
UMass-Lowell,-0.58846,13,12,0.448071,-0.607357,-1.316032
Youngstown State,-0.59916,16,11,0.304756,-0.413535,-1.289697
The Citadel,-0.610219,11,14,0.243,-0.697478,-0.365933
UMBC,-0.611463,13,12,0.121378,-0.409725,-1.281593
Louisiana,-0.616326,10,13,0.252563,-0.71713,-0.339598
Bowling Green State,-0.667026,12,14,0.118947,-0.586717,-0.787299
Mount St. Mary's,-0.667088,12,12,0.201643,-0.545076,-1.076988
Nicholls State,-0.683858,16,9,0.058153,-0.409613,-0.991905
New Hampshire,-0.691949,12,11,0.377903,-0.617386,-1.257284
Bellarmine,-0.708117,16,11,-0.255122,-0.296864,-0.035729
Purdue-Fort Wayne,-0.77933,16,10,0.235551,-0.481526,-1.291722
Harvard,-0.804724,11,10,-0.265487,-0.559413,-0.758938
ETSU,-0.814884,13,15,-0.616559,-0.310415,0.134438
Tulsa,-0.816989,8,16,-1.203728,0.055081,0.837389
James Madison,-0.823319,14,11,-0.203051,-0.469774,-0.349727
LIU,-0.848221,11,13,0.18597,-0.608844,-1.149917
New Orleans,-0.858067,15,9,0.169384,-0.414856,-1.190433
Siena,-0.859693,12,9,-0.556709,-0.167874,-0.76299
Georgia Southern,-0.865042,11,12,-0.051658,-0.644593,-0.517868
Niagara,-0.868232,11,13,-0.2867,-0.207898,-0.467223
UC-San Diego,-0.882555,11,13,0.180076,-0.67254,-0.629287
Campbell,-0.898932,14,10,0.173391,-0.664829,-1.074962
